model,field,label,count,parse_failure_rate
model_alpha,pragmatic_function,PF_ADVOCACY,1,0.0000
model_alpha,pragmatic_function,PF_ATTACK,2,0.0000
model_alpha,pragmatic_function,PF_INFO,1,0.0000
model_alpha,pragmatic_function,PF_PROCEDURAL,1,0.0000
model_alpha,fallacy_labels,FAL_ADHOM,1,0.0000
model_alpha,fallacy_labels,FAL_NONE,4,0.0000
model_beta,pragmatic_function,PF_ADVOCACY,2,0.0000
model_beta,pragmatic_function,PF_ATTACK,2,0.0000
model_beta,pragmatic_function,PF_INFO,1,0.0000
model_beta,fallacy_labels,FAL_NONE,4,0.0000
model_beta,fallacy_labels,FAL_STRAW,1,0.0000
model_gamma,pragmatic_function,PF_ATTACK,1,0.0000
model_gamma,pragmatic_function,PF_DEFENSE,2,0.0000
model_gamma,pragmatic_function,PF_INFO,1,0.0000
model_gamma,pragmatic_function,PF_PROCEDURAL,1,0.0000
model_gamma,fallacy_labels,FAL_EMOTION,1,0.0000
model_gamma,fallacy_labels,FAL_NONE,4,0.0000
